network,latitude,longitude
69.107.7.128/29,26,51
99.77.184.0/24,46,-120
150.222.208.94/31,-34,18
150.222.234.96/31,37,-122
3.64.0.0/12,50,9
13.34.12.96/27,46,-120
15.230.170.0/23,47,9
52.93.127.178/32,36,140
52.93.254.0/24,39,-77
52.95.175.0/24,-34,18
52.219.164.0/22,1,104
70.232.64.0/20,-38,145
99.82.175.0/24,39,-77
99.83.88.0/21,39,-77
99.87.16.0/20,17,78
120.52.39.128/27,35,114
150.222.28.120/31,-24,-47
162.213.234.0/23,53,-6
13.34.55.192/27,39,-77
13.34.57.96/27,39,-77
18.34.244.0/22,46,-120
18.201.0.0/16,53,-6
43.224.79.206/31,46,-120
43.224.79.238/31,46,-120
43.224.79.244/31,39,-77
52.46.191.190/31,39,-77
52.93.153.168/32,52,0
52.93.178.191/32,37,-122
52.95.186.0/24,17,78
52.119.214.0/23,39,-77
52.144.215.202/31,59,18
54.151.128.0/17,1,104
54.240.236.73/32,45,9
99.87.0.0/22,1,104
118.193.97.64/26,35,114
150.222.3.252/31,1,104
150.222.234.76/31,37,-122
208.86.88.0/23,39,-77
13.34.20.96/27,26,51
15.230.39.74/31,40,-83
15.230.39.186/31,40,-83
15.230.90.0/24,45,-74
18.175.0.0/16,52,0
43.224.76.120/30,52,0
52.46.190.208/31,39,-77
52.46.216.0/22,46,-120
52.93.127.203/32,53,-6
54.208.0.0/15,39,-77
54.228.0.0/16,53,-6
54.240.236.13/32,45,9
142.4.160.48/29,39,-77
150.222.208.90/31,-34,18
150.222.213.41/32,37,-122
13.34.65.192/27,32,35
43.224.76.140/30,39,-77
43.224.76.248/30,52,0
52.93.126.205/32,19,73
52.93.127.147/32,36,140
52.93.133.181/32,45,9
52.95.246.0/24,37,-122
52.144.215.2/31,53,-6
54.239.1.80/28,35,114
99.83.64.0/21,39,-77
150.222.234.64/31,37,-122
13.48.0.0/15,59,18
15.230.39.56/31,40,-83
15.230.39.182/31,40,-83
15.230.39.230/31,40,-83
43.224.76.20/30,39,-77
43.224.79.142/31,39,-77
43.224.79.228/31,46,-120
52.46.189.36/30,39,-77
52.46.189.76/30,39,-77
52.46.190.60/30,39,-77
52.64.0.0/17,-34,151
52.95.239.0/24,52,0
52.119.210.0/23,-34,151
104.255.59.132/32,-38,145
150.222.129.69/32,50,9
195.17.0.0/24,53,-6
13.34.5.128/27,53,-6
13.34.33.160/27,50,9
15.221.24.0/21,39,-77
15.230.39.188/31,40,-83
15.230.39.236/31,40,-83
15.230.54.0/24,19,73
18.220.0.0/14,40,-83
52.36.0.0/14,46,-120
52.93.178.141/32,37,-122
52.94.112.0/22,52,0
54.94.0.0/16,-24,-47
69.107.6.160/29,1,104
99.78.184.0/22,37,127
150.222.129.64/31,50,9
150.222.207.0/24,52,0
150.222.237.0/24,39,-77
13.34.65.96/27,32,35
15.152.0.0/16,35,136
15.220.226.0/24,46,-120
15.230.76.192/26,36,140
15.230.77.0/26,36,140
43.224.79.104/31,52,0
52.93.127.180/32,39,-77
52.93.193.197/32,45,-74
52.93.248.0/24,37,127
52.94.198.48/28,50,9
52.95.228.0/24,26,51
96.127.0.0/17,46,-120
161.188.132.0/23,39,-77
3.4.16.0/21,46,-120
13.34.25.192/27,19,73
13.34.37.192/27,-38,145
15.221.53.0/24,59,18
15.230.85.0/24,50,9
52.93.50.144/31,39,-77
52.93.127.246/32,36,140
52.93.141.240/31,37,-122
52.93.178.227/32,37,-122
52.94.224.0/20,39,-77
54.239.1.240/28,32,35
69.107.7.80/29,49,2
69.107.7.104/29,39,-77
99.77.128.0/24,39,-77
150.222.234.138/31,37,-122
223.71.71.96/27,35,114
3.5.248.0/22,45,9
43.224.76.128/30,39,-77
52.46.190.96/30,46,-120
52.46.191.126/31,46,-120
52.93.18.179/32,53,-6
52.93.126.147/32,-34,18
52.94.152.62/32,40,-83
52.94.196.0/24,53,-6
54.215.0.0/16,37,-122
150.222.226.0/24,39,-77
150.222.230.112/31,50,9
18.182.0.0/16,36,140
52.46.189.112/30,46,-120
52.93.178.175/32,37,-122
52.144.230.208/31,1,104
54.152.0.0/16,39,-77
176.32.125.240/31,39,-77
3.2.8.0/21,35,114
13.34.16.192/27,-6,107
13.34.26.192/27,52,0
18.178.0.0/16,36,140
52.46.191.54/31,39,-77
52.93.126.234/32,-24,-47
52.93.178.131/32,37,-122
52.93.178.217/32,37,-122
52.95.164.0/23,-24,-47
52.144.208.128/26,53,-6
52.144.213.64/26,52,0
54.202.0.0/15,46,-120
54.240.208.0/22,39,-77
99.150.120.0/21,25,55
150.222.204.0/24,53,-6
150.222.234.20/31,37,-122
13.34.14.224/27,-24,-47
13.34.28.32/27,46,-120
13.34.45.32/27,35,114
13.248.71.0/24,-6,107
15.181.128.0/20,46,-120
15.230.39.138/31,40,-83
15.230.39.224/31,40,-83
15.230.69.0/26,59,18
15.230.217.0/24,-6,107
16.12.8.0/24,35,114
16.170.0.0/15,59,18
18.132.0.0/14,52,0
52.46.190.224/31,52,0
52.46.191.28/31,46,-120
52.70.0.0/15,39,-77
52.93.178.214/32,37,-122
52.94.248.0/28,39,-77
52.119.212.0/23,39,-77
52.144.216.10/31,59,18
54.239.99.0/24,53,-6
108.166.224.0/21,46,-120
150.222.230.118/31,50,9
13.34.5.48/32,50,9
13.34.48.128/27,53,-6
13.34.60.32/27,39,-77
15.220.204.0/24,46,-120
15.230.66.128/25,39,-77
43.224.79.186/31,52,0
52.46.188.240/30,39,-77
52.46.190.210/31,46,-120
52.93.71.28/32,39,-77
52.93.123.11/32,37,-122
52.93.127.232/32,53,-6
52.95.110.0/24,35,114
54.240.236.62/32,45,9
150.222.115.0/24,19,73
150.222.230.51/32,50,9
150.222.234.130/31,37,-122
13.34.14.192/27,-24,-47
15.177.70.0/23,-24,-47
15.230.39.98/31,40,-83
15.230.39.248/31,40,-83
15.230.78.128/26,-34,151
15.236.0.0/15,49,2
18.154.0.0/15,35,114
52.46.188.248/30,39,-77
52.46.190.64/30,52,0
52.46.191.36/31,46,-120
52.93.50.168/31,39,-77
52.93.127.19/32,39,-77
52.93.127.216/32,39,-77
52.93.127.247/32,36,140
52.93.178.135/32,37,-122
52.144.211.198/31,52,0
52.219.160.0/23,19,73
64.252.84.0/24,52,0
99.77.254.0/24,39,-77
184.72.0.0/18,37,-122
13.125.0.0/16,37,127
13.248.24.0/22,35,136
13.248.103.0/24,39,-77
15.197.28.0/23,35,114
15.230.39.52/31,40,-83
15.230.39.160/31,40,-83
15.230.69.128/26,26,51
35.71.100.0/24,19,73
43.224.76.56/30,52,0
43.224.79.54/31,39,-77
52.46.191.200/31,39,-77
52.93.55.160/31,37,-122
52.144.208.0/31,59,18
54.193.0.0/16,37,-122
70.232.92.0/22,39,-77
99.77.247.0/24,50,9
150.222.140.0/24,37,-122
150.222.234.32/31,37,-122
13.34.9.0/27,53,-6
15.230.39.218/31,40,-83
43.224.76.112/30,39,-77
43.224.79.236/31,46,-120
52.46.191.226/31,39,-77
52.93.153.174/32,52,0
52.95.61.0/24,53,-6
52.219.124.0/22,1,104
54.240.236.82/32,45,9
54.240.241.0/24,35,114
64.252.88.0/24,50,9
150.222.234.48/31,37,-122
150.222.234.122/31,37,-122
150.222.235.0/24,19,73
176.32.125.232/31,39,-77
13.34.5.15/32,50,9
13.248.16.0/21,35,136
15.181.245.0/24,46,-120
15.230.39.82/31,40,-83
15.230.39.210/31,40,-83
52.46.191.20/31,46,-120
52.46.191.222/31,46,-120
52.93.240.156/31,46,-120
52.144.208.2/31,59,18
54.240.128.0/18,35,114
54.240.236.6/32,45,9
99.151.96.0/21,40,-83
104.255.59.88/32,-34,151
150.222.12.0/24,-24,-47
150.222.116.0/24,37,127
205.251.250.0/23,35,114
13.34.5.47/32,50,9
15.230.39.216/31,40,-83
15.230.133.24/32,1,104
15.230.149.10/32,-34,151
35.71.68.0/22,39,-77
52.8.0.0/16,37,-122
52.46.191.48/31,39,-77
52.93.92.64/31,37,-122
52.93.121.196/32,36,140
52.93.126.145/32,37,-122
52.93.126.204/32,19,73
52.94.152.68/32,37,-122
52.94.249.192/28,-6,107
52.95.152.0/23,45,9
52.95.247.0/24,46,-120
52.219.172.0/22,36,140
64.252.83.0/24,52,0
150.222.234.136/31,37,-122
13.34.15.0/27,36,140
13.34.58.160/27,37,127
15.177.64.0/23,39,-77
15.193.9.0/24,37,127
15.230.39.20/31,40,-83
15.251.0.25/32,-24,-47
43.224.77.132/30,39,-77
43.224.79.130/31,39,-77
46.51.208.0/22,39,-77
52.86.0.0/15,39,-77
52.93.127.244/32,36,140
52.93.178.188/32,37,-122
52.93.178.201/32,37,-122
54.239.1.160/28,17,78
54.239.1.208/28,47,9
64.252.80.0/24,-24,-47
142.4.160.88/29,39,-77
150.222.3.218/31,1,104
150.222.180.0/24,46,-120
180.163.57.0/25,35,114
13.34.37.32/27,-38,145
18.136.0.0/16,1,104
43.224.76.164/30,39,-77
50.112.0.0/16,46,-120
52.93.91.113/32,39,-77
52.93.97.0/24,39,-77
52.93.127.206/32,53,-6
150.222.234.10/31,37,-122
3.3.16.0/21,39,-77
13.34.26.224/27,52,0
13.34.40.64/27,47,9
13.212.0.0/15,1,104
15.197.128.0/17,35,114
15.220.233.0/24,39,-77
15.230.39.114/31,40,-83
15.230.39.150/31,40,-83
15.230.71.64/26,49,2
18.179.0.0/16,36,140
43.224.76.8/30,39,-77
43.224.79.46/31,46,-120
43.224.79.100/31,52,0
52.46.189.240/30,39,-77
52.46.190.8/30,39,-77
52.93.127.162/32,39,-77
52.93.156.0/22,35,114
52.94.136.0/21,50,9
52.95.138.0/24,42,-1
52.219.200.0/24,36,140
64.252.100.0/24,19,73
150.222.120.232/31,50,9
150.222.230.94/31,50,9
205.251.224.0/22,39,-77
3.5.216.0/22,59,18
3.130.0.0/16,40,-83
13.34.56.192/27,53,-6
13.57.0.0/16,37,-122
13.126.0.0/15,19,73
15.181.64.0/20,46,-120
15.230.67.192/26,46,-120
15.251.0.13/32,37,-122
15.251.0.29/32,32,35
52.93.153.175/32,52,0
52.93.240.172/31,46,-120
52.219.202.0/23,37,127
54.239.4.0/22,50,9
70.232.96.0/20,47,9
99.77.140.0/24,35,136
104.255.59.127/32,17,78
150.222.3.183/32,1,104
13.34.5.78/32,50,9
15.230.39.222/31,40,-83
16.16.0.0/16,59,18
43.224.76.80/30,39,-77
52.46.188.96/30,46,-120
52.46.190.56/30,39,-77
52.94.14.0/24,45,-74
52.94.198.64/28,37,127
52.119.216.0/21,36,140
150.222.129.242/31,50,9
150.222.230.114/31,50,9
13.34.11.0/27,35,114
13.34.64.128/27,19,73
15.206.0.0/15,19,73
15.230.204.3/32,39,-77
50.18.0.0/16,37,-122
52.14.0.0/16,40,-83
52.46.0.0/18,35,114
52.46.88.0/22,49,2
52.46.188.28/30,39,-77
52.46.191.134/31,39,-77
150.222.3.202/31,1,104
150.222.230.120/31,50,9
223.71.11.0/27,35,114
3.3.6.0/23,35,114
13.34.16.224/27,-6,107
13.34.64.224/27,32,35
15.230.16.18/31,37,-122
15.230.68.0/26,46,-120
15.230.204.0/32,39,-77
52.46.188.216/30,46,-120
52.46.191.186/31,46,-120
52.93.63.0/24,1,104
52.93.120.176/32,35,136
52.93.178.167/32,37,-122
54.172.0.0/15,39,-77
150.222.11.88/31,53,-6
150.222.239.0/24,53,-6
176.34.64.0/18,53,-6
3.5.146.0/23,1,104
13.34.37.224/27,-38,145
13.248.128.0/17,35,114
15.230.160.0/24,36,140
35.71.109.0/24,37,127
43.224.77.188/30,52,0
52.82.128.0/19,35,114
52.93.121.187/32,36,140
52.93.127.200/32,39,-77
52.94.152.183/32,-34,151
52.95.255.96/28,37,-122
99.83.98.0/24,37,-122
99.150.88.0/21,35,114
142.4.160.16/29,46,-120
150.222.83.0/24,19,73
150.222.208.70/31,-34,18
13.34.60.0/27,39,-77
15.230.156.0/24,49,2
15.251.0.14/32,37,-122
18.204.0.0/14,39,-77
35.178.0.0/15,52,0
43.224.79.210/31,46,-120
52.46.188.60/30,39,-77
52.46.191.44/31,46,-120
52.46.191.92/31,39,-77
52.93.91.110/32,39,-77
52.93.127.129/32,19,73
52.93.178.196/32,37,-122
52.94.9.0/24,46,-120
52.94.204.0/23,50,9
52.95.180.0/24,-34,18
54.88.0.0/14,39,-77
75.2.0.0/17,35,114
99.78.192.0/22,39,-77
150.222.3.206/31,1,104
13.34.41.96/27,-34,151
52.46.189.252/30,46,-120
52.94.116.0/22,46,-120
52.144.215.200/31,59,18
64.252.119.0/24,37,-122
150.222.212.0/24,39,-77
208.86.90.0/23,53,-6
13.34.68.64/27,19,73
15.181.248.0/24,46,-120
15.230.39.22/31,40,-83
15.230.39.252/31,40,-83
15.230.188.0/25,53,-6
15.251.0.21/32,-24,-47
18.34.252.0/22,40,-83
52.29.0.0/16,50,9
52.46.190.72/30,52,0
52.46.191.52/31,39,-77
52.93.127.175/32,36,140
52.94.15.0/24,52,0
52.95.35.0/24,1,104
52.95.62.0/24,39,-77
52.95.144.0/24,52,0
52.144.194.64/26,46,-120
52.144.209.0/26,50,9
54.240.236.57/32,45,9
104.255.59.131/32,-38,145
150.222.230.100/31,50,9
150.222.234.114/31,37,-122
13.34.43.64/27,40,-83
13.52.0.0/16,37,-122
13.200.0.0/13,19,73
15.230.59.0/24,36,140
16.12.9.0/24,59,18
18.180.0.0/15,36,140
43.224.76.52/30,46,-120
46.137.128.0/18,53,-6
52.46.191.192/31,39,-77
52.93.2.0/24,53,-6
52.93.50.134/31,39,-77
52.93.127.183/32,39,-77
52.93.178.128/32,37,-122
52.94.248.176/28,37,127
52.95.184.0/23,17,78
54.230.0.0/17,35,114
54.230.128.0/18,35,114
150.222.28.104/32,-24,-47
150.222.230.110/31,50,9
150.222.234.118/31,37,-122
3.2.2.0/24,39,-77
13.34.4.64/27,39,-77
13.34.26.32/27,46,-120
13.34.28.128/27,46,-120
13.34.39.128/27,47,9
13.34.48.160/27,53,-6
13.246.0.0/16,-34,18
15.221.2.0/24,53,-6
15.230.4.154/31,1,104
15.230.79.128/26,45,-74
15.230.149.4/31,-34,151
52.46.190.36/30,39,-77
52.46.190.240/31,52,0
52.93.99.0/24,19,73
52.93.127.71/32,-24,-47
52.93.141.244/31,37,-122
52.94.249.240/28,42,-1
52.95.40.0/24,46,-120
52.95.254.0/24,49,2
52.144.228.192/26,37,127
64.252.104.0/24,1,104
69.107.6.208/29,35,136
150.222.232.96/28,37,-122
176.32.64.0/19,36,140
13.34.23.128/27,46,-120
13.34.41.128/27,-34,151
13.34.47.192/27,-24,-47
13.54.0.0/15,-34,151
13.248.48.0/21,35,114
15.248.24.0/22,19,73
52.46.188.252/30,39,-77
52.46.190.164/30,52,0
52.46.191.18/31,46,-120
52.93.50.131/32,39,-77
52.93.193.202/32,45,-74
52.95.142.0/23,52,0
52.95.235.0/24,-6,107
52.95.241.0/24,-34,151
52.144.233.64/31,35,136
54.239.128.0/18,35,114
64.252.66.0/24,39,-77
64.252.82.0/24,52,0
99.77.144.0/24,-34,151
99.78.160.0/21,50,9
130.176.224.0/20,35,114
150.222.11.74/31,53,-6
150.222.28.128/31,-24,-47
150.222.72.0/24,-34,151
150.222.120.224/31,50,9
150.222.232.114/31,37,-122
3.12.0.0/16,40,-83
13.124.0.0/16,37,127
15.230.144.0/24,50,9
15.230.157.0/24,39,-77
15.230.181.0/24,35,136
35.71.111.0/24,52,0
36.103.232.128/26,35,114
52.84.0.0/15,35,114
52.93.122.131/32,37,-122
52.93.127.255/32,36,140
52.93.133.131/32,45,9
52.94.18.0/24,45,9
52.94.248.144/28,19,73
52.192.0.0/15,36,140
52.219.194.0/24,37,-122
99.150.72.0/21,49,2
150.222.110.0/24,39,-77
150.222.234.12/31,37,-122
3.3.5.0/24,39,-77
13.34.46.160/27,36,140
15.230.14.20/31,39,-77
52.93.34.57/32,37,-122
52.93.178.162/32,37,-122
52.94.13.0/24,-34,151
52.144.233.66/31,35,136
54.78.0.0/16,53,-6
99.77.139.0/24,36,140
99.82.160.0/24,19,73
150.222.15.128/31,36,140
150.222.129.158/31,50,9
150.222.129.250/31,50,9
150.222.217.17/32,19,73
204.246.160.0/22,37,-122
13.34.43.32/27,19,73
13.34.63.64/27,-24,-47
15.193.4.0/24,50,9
15.230.71.0/26,49,2
15.230.203.0/24,19,73
35.71.116.0/24,46,-120
43.224.76.36/30,46,-120
52.46.190.222/31,52,0
52.93.92.70/31,37,-122
52.93.240.158/31,46,-120
54.239.106.0/23,50,9
99.150.40.0/21,52,0
150.222.120.240/31,50,9
150.222.232.118/31,37,-122
3.5.212.0/23,19,73
3.5.220.0/22,26,51
13.34.5.81/32,50,9
13.34.5.160/27,53,-6
13.34.51.160/27,37,-122
13.34.67.192/27,46,-120
15.177.72.0/24,59,18
15.230.39.64/31,40,-83
15.230.42.0/24,37,-122
15.230.55.0/24,52,0
43.224.79.66/31,52,0
52.2.0.0/15,39,-77
52.46.191.168/31,39,-77
52.93.71.32/32,39,-77
52.93.127.125/32,39,-77
52.94.152.66/32,37,-122
52.144.214.128/26,45,9
64.252.106.0/24,-34,151
103.4.8.0/21,36,140
104.255.59.105/32,-6,107
150.222.3.228/31,1,104
150.222.28.17/32,-24,-47
176.32.96.0/21,39,-77
184.72.64.0/18,39,-77
13.34.34.160/27,25,55
13.34.46.224/27,36,140
13.248.108.0/24,39,-77
15.251.0.15/32,37,-122
52.93.124.14/32,45,9
52.93.126.206/32,-24,-47
52.93.240.146/31,46,-120
52.95.108.0/23,39,-77
52.144.193.0/26,39,-77
99.78.168.0/23,50,9
108.166.248.0/21,40,-83
143.204.0.0/16,35,114
150.222.91.0/24,36,140
13.34.19.224/27,53,-6
13.34.42.224/27,-24,-47
13.34.67.0/27,39,-77
15.181.192.0/19,39,-77
52.93.55.166/31,37,-122
52.93.123.136/32,39,-77
52.93.178.144/32,37,-122
52.93.178.154/32,37,-122
52.93.240.162/31,46,-120
52.94.23.0/24,59,18
52.95.48.0/22,39,-77
52.219.120.0/22,37,-122
54.240.232.0/22,39,-77
69.107.7.48/29,40,-83
99.77.190.0/24,35,114
99.78.228.0/22,-6,107
150.222.3.189/32,1,104
150.222.143.0/24,39,-77
150.222.234.28/31,37,-122
13.34.56.64/27,39,-77
13.248.106.0/24,26,51
15.230.133.17/32,1,104
15.230.204.1/32,39,-77
15.253.0.0/16,46,-120
43.224.77.120/30,39,-77
52.93.127.111/32,1,104
52.119.224.0/21,39,-77
52.219.64.0/22,19,73
54.238.0.0/16,36,140
99.150.16.0/21,50,9
150.222.28.110/31,-24,-47
150.222.117.0/24,59,18
216.182.232.0/22,39,-77
3.120.0.0/14,50,9
13.34.57.160/27,39,-77
15.181.252.0/24,46,-120
18.198.0.0/15,50,9
43.224.77.8/29,46,-120
52.9.0.0/16,37,-122
52.46.188.160/30,39,-77
52.46.188.188/30,52,0
52.46.190.238/31,52,0
52.93.38.0/24,53,-6
52.94.152.69/32,37,-122
52.144.216.4/31,59,18
52.219.128.0/22,1,104
69.107.7.0/29,1,104
99.77.141.0/24,37,127
150.222.196.0/24,46,-120
13.34.36.0/27,-6,107
13.34.42.160/27,46,-120
15.248.20.0/22,26,51
15.251.0.8/32,-34,151
27.0.0.0/22,36,140
52.46.180.0/22,46,-120
52.46.188.80/30,39,-77
52.46.191.180/31,39,-77
52.93.98.0/24,19,73
52.93.146.5/32,-24,-47
52.93.178.146/32,37,-122
52.94.152.12/32,39,-77
52.144.233.130/31,35,136
54.240.236.41/32,45,9
69.107.7.112/29,-24,-47
3.136.0.0/13,40,-83
13.248.99.0/24,37,-122
15.230.14.12/32,39,-77
15.230.83.0/24,39,-77
43.224.77.212/30,39,-77
52.46.189.228/30,46,-120
52.46.191.164/31,52,0
52.93.37.223/32,37,-122
52.93.121.188/32,36,140
52.93.178.178/32,37,-122
52.94.248.192/28,52,0
54.240.236.94/32,45,9
150.222.223.0/24,39,-77
13.34.44.32/27,40,-83
13.248.112.0/24,46,-120
15.230.39.26/31,40,-83
15.230.145.0/24,39,-77
54.239.115.0/25,53,-6
64.252.120.0/24,37,-122
150.222.3.179/32,1,104
150.222.3.192/31,1,104
150.222.28.138/31,-24,-47
3.5.144.0/23,37,127
13.34.35.96/27,25,55
15.230.131.0/24,50,9
15.230.182.0/24,53,-6
52.93.50.138/31,39,-77
52.93.92.66/31,37,-122
52.93.127.148/32,36,140
52.94.248.112/28,50,9
144.220.0.0/16,35,114
150.222.234.16/31,37,-122
150.222.234.30/31,37,-122
13.34.60.192/27,39,-77
13.34.61.96/27,53,-6
15.181.242.0/24,39,-77
15.197.2.0/24,35,114
15.221.20.0/22,-34,151
15.230.70.128/26,19,73
15.230.92.0/24,46,-120
15.248.8.0/22,40,-83
52.93.50.152/31,39,-77
52.93.141.226/31,37,-122
52.93.178.176/32,37,-122
52.94.198.32/28,46,-120
54.232.0.0/16,-24,-47
120.52.153.192/26,35,114
150.222.230.126/31,50,9
199.127.232.0/22,39,-77
13.34.42.0/27,39,-77
13.34.60.96/27,39,-77
13.34.65.224/27,32,35
15.177.78.0/24,52,0
15.193.0.0/24,19,73
15.230.0.14/32,-24,-47
15.230.19.18/31,53,-6
15.230.39.76/31,40,-83
15.230.71.192/26,40,-83
52.66.0.0/16,19,73
52.93.127.250/32,36,140
52.93.240.184/31,46,-120
54.239.0.64/28,-24,-47
99.82.176.0/21,39,-77
150.222.230.96/31,50,9
204.236.192.0/18,39,-77
13.34.44.192/27,53,-6
15.230.80.0/24,50,9
35.168.0.0/13,39,-77
43.224.79.124/31,39,-77
52.46.190.234/31,52,0
52.64.128.0/17,-34,151
52.93.127.120/32,45,9
104.255.59.136/32,36,140
150.222.234.3/32,37,-122
13.34.10.160/27,40,-83
13.34.46.128/27,36,140
13.34.55.224/27,39,-77
13.209.0.0/16,37,127
15.181.40.0/21,39,-77
18.34.48.0/20,46,-120
18.34.232.0/21,39,-77
18.140.0.0/15,1,104
43.224.79.28/31,39,-77
43.224.79.248/31,39,-77
52.46.189.224/30,46,-120
52.60.0.0/16,45,-74
52.78.0.0/16,37,127
52.93.178.129/32,37,-122
52.93.178.145/32,37,-122
52.93.193.192/32,45,-74
69.107.3.176/29,39,-77
72.44.32.0/19,39,-77
150.222.28.105/32,-24,-47
205.251.236.0/22,46,-120
3.100.0.0/16,37,-122
13.34.52.192/27,52,0
15.181.16.0/20,46,-120
15.181.96.0/20,39,-77
15.221.3.0/24,50,9
15.248.32.0/22,59,18
52.92.0.0/17,53,-6
52.93.127.202/32,53,-6
54.240.236.46/32,45,9
99.150.112.0/21,17,78
13.58.0.0/15,40,-83
43.224.76.200/30,46,-120
43.224.79.84/31,52,0
52.46.189.204/30,39,-77
52.93.51.29/32,39,-77
52.93.178.199/32,37,-122
52.119.152.0/22,45,9
54.194.0.0/15,53,-6
54.240.244.0/22,-24,-47
69.107.7.96/29,39,-77
150.222.102.0/24,46,-120
13.34.5.44/32,50,9
13.34.21.192/27,39,-77
13.34.67.96/27,46,-120
52.93.1.0/24,39,-77
52.93.50.160/31,39,-77
52.93.55.154/31,37,-122
52.93.131.217/32,45,9
52.94.30.0/24,-34,18
54.240.236.53/32,45,9
54.240.236.77/32,45,9
54.240.236.93/32,45,9
3.98.0.0/15,45,-74
15.230.39.132/31,40,-83
43.224.79.40/31,46,-120
43.224.79.188/31,52,0
52.46.191.6/31,46,-120
52.93.50.132/31,39,-77
54.66.0.0/16,-34,151
150.222.15.126/32,39,-77
150.222.129.255/32,50,9
150.222.234.116/31,37,-122
150.222.236.0/24,39,-77
162.222.148.0/22,46,-120
3.4.2.0/24,39,-77
13.34.4.96/27,39,-77
13.34.31.0/27,39,-77
15.177.75.0/24,53,-6
15.230.24.0/22,35,136
15.230.39.130/31,40,-83
52.24.0.0/14,46,-120
52.46.170.0/23,39,-77
52.95.56.0/22,36,140
52.119.160.0/20,46,-120
52.222.0.0/17,46,-120
64.252.65.0/24,46,-120
119.147.182.0/25,35,114
13.34.9.32/27,53,-6
13.248.65.0/24,42,-1
15.251.0.23/32,-24,-47
43.224.79.164/31,46,-120
43.224.79.218/31,39,-77
43.224.79.224/31,52,0
52.46.188.140/30,39,-77
52.46.191.42/31,46,-120
52.93.69.0/24,26,51
52.93.141.242/31,37,-122
52.93.178.151/32,37,-122
52.144.210.192/26,50,9
52.144.233.134/31,35,136
54.239.1.144/28,-6,107
120.232.236.0/25,35,114
150.222.234.40/31,37,-122
3.13.0.0/16,40,-83
3.248.0.0/13,53,-6
15.230.39.180/31,40,-83
43.224.76.172/30,39,-77
54.92.128.0/17,39,-77
54.239.0.0/28,39,-77
99.77.133.0/24,53,-6
104.255.56.11/32,39,-77
104.255.59.83/32,36,140
150.222.233.0/24,40,-83
150.222.234.58/31,37,-122
13.34.49.64/27,53,-6
13.34.67.32/27,39,-77
13.210.0.0/15,-34,151
43.224.77.144/30,52,0
52.93.55.164/31,37,-122
52.93.127.251/32,36,140
52.93.178.140/32,37,-122
52.93.178.174/32,37,-122
52.94.17.0/24,50,9
52.95.154.0/23,49,2
52.95.212.0/22,1,104
52.119.156.0/22,45,9
54.239.0.240/28,52,0
54.241.0.0/16,37,-122
99.77.151.0/24,39,-77
104.255.59.91/32,19,73
104.255.59.115/32,35,136
150.222.164.210/32,53,-6
184.169.128.0/17,37,-122
216.182.224.0/21,39,-77
13.34.41.0/27,37,-122
13.34.61.128/27,40,-83
15.230.6.0/24,1,104
35.72.0.0/13,36,140
43.224.77.84/30,39,-77
43.224.79.202/31,52,0
52.93.91.98/32,39,-77
52.94.152.178/32,-34,151
54.240.236.65/32,45,9
69.107.6.224/29,53,-6
99.150.24.0/21,37,127
104.255.59.85/32,19,73
150.222.230.128/31,50,9
150.222.234.124/31,37,-122
3.8.0.0/14,52,0
13.248.60.0/22,35,114
18.246.0.0/16,46,-120
52.46.190.216/31,39,-77
52.93.127.160/32,-24,-47
52.93.133.127/32,45,9
52.93.139.252/32,52,0
52.93.141.230/31,37,-122
52.93.178.232/32,37,-122
52.94.198.0/28,37,-122
52.219.176.0/22,40,-83
54.204.0.0/15,39,-77
69.107.7.8/29,1,104
150.222.67.0/24,52,0
150.222.120.255/32,50,9
150.222.129.110/31,50,9
150.222.232.112/31,37,-122
15.230.39.202/31,40,-83
16.12.12.0/23,32,35
52.46.191.150/31,39,-77
52.93.127.204/32,53,-6
52.93.178.132/32,37,-122
52.194.0.0/15,36,140
54.155.0.0/16,53,-6
54.196.0.0/15,39,-77
99.78.170.0/23,-34,151
176.32.125.226/31,39,-77
3.5.80.0/21,46,-120
13.34.42.32/27,39,-77
15.190.16.0/20,32,35
15.230.4.158/31,1,104
15.230.39.42/31,40,-83
15.230.39.250/31,40,-83
18.34.240.0/22,53,-6
35.71.97.0/24,-34,151
35.152.0.0/16,45,9
52.46.188.52/30,46,-120
52.46.188.64/30,39,-77
52.46.191.194/31,39,-77
52.93.127.119/32,53,-6
52.93.127.153/32,59,18
52.94.252.0/23,39,-77
52.144.215.198/31,59,18
52.219.156.0/22,19,73
99.83.128.0/17,35,114
99.150.0.0/21,40,-83
150.222.129.146/31,50,9
13.34.53.128/27,1,104
13.34.55.128/27,19,73
13.34.57.192/27,39,-77
13.34.66.224/27,39,-77
13.248.123.0/24,50,9
15.230.35.0/24,39,-77
43.224.77.168/30,52,0
52.46.189.12/30,39,-77
52.46.191.26/31,46,-120
52.93.249.0/24,39,-77
150.222.129.126/31,50,9
150.222.234.22/31,37,-122
150.222.234.72/31,37,-122
207.171.160.0/20,39,-77
13.34.51.96/27,40,-83
13.34.58.192/27,36,140
15.230.39.8/31,40,-83
43.224.77.148/30,52,0
52.46.190.226/31,52,0
52.94.7.0/24,-24,-47
52.95.60.0/24,53,-6
13.34.25.128/27,46,-120
13.34.29.32/27,-24,-47
13.34.68.128/27,39,-77
